oid,matched_via,report_title,db_author,report_author
18408,2001 ND 76,State v. McHugh,(none),Per Curiam
13289,2001 ND 1,Petition for Change of Designation of Judgeship No. 1,(none),Per Curiam
18378,2001 ND 108,Demming v. Demming,(none),Per Curiam
18380,2001 ND 117,State v. Jensen                  (Consolidated w/20010013 & 20010014),(none),Per Curiam
18381,2001 ND 119,Tweit v. Erickson,(none),Per Curiam
13527,2001 ND 172,"Farmers Elevator, Inc. of Grace City v. Custom Processors, Inc.",(none),Per Curiam
18382,2001 ND 128,"Matrix v. TAG Investments       (Cross-ref. w/990336, 20000192 & 20000356)",(none),Per Curiam
13346,2001 ND 63,Disciplinary Board v. Keller,(none),Per Curiam
18387,2001 ND 162,Davison v. Wanner,(none),Per Curiam
13493,2001 ND 210,Disciplinary Board v. Boulger,(none),Per Curiam
